election,year,county,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Local Election,2014,Carlow,Carlow,Fianna Fáil,Jennifer Murnane O'Connor,0,1067,23431,11871,11732,139,"[1530, -463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1530, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,John Pender,0,1067,23431,11871,11732,139,"[1354, 0, -287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1354, 1354, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Sinn Féin,John Cassin,0,1067,23431,11871,11732,139,"[1077, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1077, 1077, 1077, 1077, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,Fintan Phelan,0,1067,23431,11871,11732,139,"[1011, 117, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1011, 1128, 1128, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fine Gael,Brian O'Donoghue,0,1067,23431,11871,11732,139,"[1018, 7, 48, 0, 0, -6, -6, 0, 0, 0, 0, 0, 0, 0, 0]","[1018, 1025, 1073, 1073, 1073, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Sinn Féin,Jim Deane,0,1067,23431,11871,11732,139,"[842, 36, 22, 2, 6, 1, 8, 23, 21, 20, 61, 132, -107, 0, 0]","[842, 878, 900, 902, 908, 909, 917, 940, 961, 981, 1042, 1174, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Independent,Walter Lacey,0,1067,23431,11871,11732,139,"[632, 48, 9, 7, 1, 0, 11, 30, 55, 59, 42, 77, 42, 26, 77]","[632, 680, 689, 696, 697, 697, 708, 738, 793, 852, 894, 971, 1013, 1039, 1116]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,Ann Ahern née Long,0,1067,23431,11871,11732,139,"[676, 93, 58, 25, 1, 1, 4, 15, 1, 42, 45, 20, 6, 20, 56]","[676, 769, 827, 852, 853, 854, 858, 873, 874, 916, 961, 981, 987, 1007, 1063]"
Local Election,2014,Carlow,Carlow,Labour Party,William Paton,0,1067,23431,11871,11732,139,"[610, 7, 77, 1, 0, 2, 2, 5, 8, 26, 56, 24, 10, 194, 24]","[610, 617, 694, 695, 695, 697, 699, 704, 712, 738, 794, 818, 828, 1022, 1046]"
Local Election,2014,Carlow,Carlow,Fine Gael,Fergal Browne,0,1067,23431,11871,11732,139,"[544, 19, 12, 3, 0, 0, 1, 4, 27, 11, 33, 8, 2, 64, 184]","[544, 563, 575, 578, 578, 578, 579, 583, 610, 621, 654, 662, 664, 728, 912]"
Local Election,2014,Carlow,Carlow,Fine Gael,Tom O'Neill,0,1067,23431,11871,11732,139,"[413, 23, 3, 5, 1, 0, 1, 8, 7, 28, 33, 10, 1, 35, 118]","[413, 436, 439, 444, 445, 445, 446, 454, 461, 489, 522, 532, 533, 568, 686]"
Local Election,2014,Carlow,Carlow,Fine Gael,Wayne Fennell,0,1067,23431,11871,11732,139,"[454, 14, 4, 3, 0, 0, 0, 4, 15, 8, 27, 8, 0, 15, 0]","[454, 468, 472, 475, 475, 475, 475, 479, 494, 502, 529, 537, 537, 552, 0]"
Local Election,2014,Carlow,Carlow,Fine Gael,Kathy Walsh,0,1067,23431,11871,11732,139,"[365, 4, 32, 0, 0, 1, 2, 5, 3, 3, 14, 7, 3, 0, 0]","[365, 369, 401, 401, 401, 402, 404, 409, 412, 415, 429, 436, 439, 0, 0]"
Local Election,2014,Carlow,Carlow,Solidarity,Ned Costigan,0,1067,23431,11871,11732,139,"[290, 11, 5, 1, 1, 1, 6, 51, 19, 6, 11, 0, 0, 0, 0]","[290, 301, 306, 307, 308, 309, 315, 366, 385, 391, 402, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Labour Party,Caroline Townsend,0,1067,23431,11871,11732,139,"[281, 28, 8, 6, 0, 0, 2, 6, 6, 54, 0, 0, 0, 0, 0]","[281, 309, 317, 323, 323, 323, 325, 331, 337, 391, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Labour Party,Des Hurley,0,1067,23431,11871,11732,139,"[223, 33, 2, 2, 0, 0, 5, 5, 12, 0, 0, 0, 0, 0, 0]","[223, 256, 258, 260, 260, 260, 265, 270, 282, 282, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Independent,Declan Alcock,0,1067,23431,11871,11732,139,"[192, 10, 4, 3, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]","[192, 202, 206, 209, 209, 209, 216, 224, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Direct Democracy,Saoire O'Brien,0,1067,23431,11871,11732,139,"[166, 7, 2, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","[166, 173, 175, 177, 177, 177, 182, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Independent,Pat Finnerty,0,1067,23431,11871,11732,139,"[32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 33, 33, 33, 33, 33, 33, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Carlow,Independent,Conor Dowling,0,1067,23431,11871,11732,139,"[22, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 27, 28, 29, 29, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Labour Party,Willie Quinn,8,1083,17599,9878,9739,139,"[1038, 28, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1038, 1066, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083]"
Local Election,2014,Carlow,Muinebheag,Independent,Charlie Murphy,8,1083,17599,9878,9739,139,"[1377, -294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1377, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083]"
Local Election,2014,Carlow,Muinebheag,Fine Gael,Tommy Kinsella,8,1083,17599,9878,9739,139,"[1130, 0, -47, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1130, 1130, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083, 1083]"
Local Election,2014,Carlow,Muinebheag,Sinn Féin,Andy Gladney,8,1083,17599,9878,9739,139,"[804, 21, 2, 13, 18, 27, 41, 48, 202, -93, 0, 0]","[804, 825, 827, 840, 858, 885, 926, 974, 1176, 1083, 1083, 1083]"
Local Election,2014,Carlow,Muinebheag,Fianna Fáil,Arthur McDonald,8,1083,17599,9878,9739,139,"[788, 15, 3, 3, 42, 12, 155, 14, 49, 18, -16, 0]","[788, 803, 806, 809, 851, 863, 1018, 1032, 1081, 1099, 1083, 1083]"
Local Election,2014,Carlow,Muinebheag,Fine Gael,Michael Doran,8,1083,17599,9878,9739,139,"[769, 6, 2, 13, 15, 9, 24, 44, 57, 10, 1, 157]","[769, 775, 777, 790, 805, 814, 838, 882, 939, 949, 950, 1107]"
Local Election,2014,Carlow,Muinebheag,Fine Gael,John Murphy,8,1083,17599,9878,9739,139,"[564, 46, 9, 11, 4, 49, 3, 65, 5, 4, 0, 67]","[564, 610, 619, 630, 634, 683, 686, 751, 756, 760, 760, 827]"
Local Election,2014,Carlow,Muinebheag,Fine Gael,Denis Foley,8,1083,17599,9878,9739,139,"[551, 13, 6, 8, 42, 9, 35, 19, 44, 20, 5, 72]","[551, 564, 570, 578, 620, 629, 664, 683, 727, 747, 752, 824]"
Local Election,2014,Carlow,Muinebheag,Fianna Fáil,P.J. Kavanagh,8,1083,17599,9878,9739,139,"[492, 44, 2, 28, 1, 31, 36, 34, 33, 10, 1, 65]","[492, 536, 538, 566, 567, 598, 634, 668, 701, 711, 712, 777]"
Local Election,2014,Carlow,Muinebheag,Labour Party,Jim Townsend,8,1083,17599,9878,9739,139,"[461, 13, 1, 11, 30, 38, 32, 53, 39, 20, 3, 0]","[461, 474, 475, 486, 516, 554, 586, 639, 678, 698, 701, 0]"
Local Election,2014,Carlow,Muinebheag,Solidarity,Christy Cormac,8,1083,17599,9878,9739,139,"[437, 10, 1, 11, 22, 11, 31, 63, 0, 0, 0, 0]","[437, 447, 448, 459, 481, 492, 523, 586, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Fianna Fáil,David O'Brien,8,1083,17599,9878,9739,139,"[356, 11, 1, 8, 23, 8, 0, 0, 0, 0, 0, 0]","[356, 367, 368, 376, 399, 407, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Independent,Billy Nolan,8,1083,17599,9878,9739,139,"[261, 42, 1, 18, 2, 0, 0, 0, 0, 0, 0, 0]","[261, 303, 304, 322, 324, 324, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Independent,Matthew English-Hayden,8,1083,17599,9878,9739,139,"[333, 23, 1, 33, 5, 0, 0, 0, 0, 0, 0, 0]","[333, 356, 357, 390, 395, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Labour Party,Ken Hickey,8,1083,17599,9878,9739,139,"[217, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[217, 220, 220, 222, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Independent,Liam Foley,8,1083,17599,9878,9739,139,"[133, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[133, 150, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Carlow,Muinebheag,Independent,Pat Finnerty,8,1083,17599,9878,9739,139,"[28, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fianna Fáil,Niamh Smyth,6,1678,19701,11898,11745,153,"[1886, -208, 0, 0, 0, 0, 0, 0, 0]","[1886, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Sinn Féin,Paddy McDonald,6,1678,19701,11898,11745,153,"[879, 45, 35, 77, 64, 85, 107, 552, -166]","[879, 924, 959, 1036, 1100, 1185, 1292, 1844, 1678]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fine Gael,Carmel Brady,6,1678,19701,11898,11745,153,"[719, 5, 23, 62, 119, 279, 324, 129, 40]","[719, 724, 747, 809, 928, 1207, 1531, 1660, 1700]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fine Gael,Val Smith,6,1678,19701,11898,11745,153,"[1095, 6, 21, 72, 39, 27, 178, 115, 43]","[1095, 1101, 1122, 1194, 1233, 1260, 1438, 1553, 1596]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fianna Fáil,Fergal Curtin,6,1678,19701,11898,11745,153,"[1105, 41, 13, 17, 11, 89, 52, 165, 50]","[1105, 1146, 1159, 1176, 1187, 1276, 1328, 1493, 1543]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fianna Fáil,Clifford Kelly,6,1678,19701,11898,11745,153,"[1187, 12, 16, 11, 161, 45, 57, 5, 18]","[1187, 1199, 1215, 1226, 1387, 1432, 1489, 1494, 1512]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fianna Fáil,Francis McDermott,6,1678,19701,11898,11745,153,"[874, 32, 17, 23, 52, 140, 231, 32, 15]","[874, 906, 923, 946, 998, 1138, 1369, 1401, 1416]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Sinn Féin,Charlie Boylan,6,1678,19701,11898,11745,153,"[1034, 4, 46, 11, 28, 65, 30, 0, 0]","[1034, 1038, 1084, 1095, 1123, 1188, 1218, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fine Gael,John O'Hare,6,1678,19701,11898,11745,153,"[729, 19, 31, 132, 127, 48, 0, 0, 0]","[729, 748, 779, 911, 1038, 1086, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fianna Fáil,Don Smith,6,1678,19701,11898,11745,153,"[809, 14, 31, 8, 6, 0, 0, 0, 0]","[809, 823, 854, 862, 868, 0, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fine Gael,David Blake,6,1678,19701,11898,11745,153,"[608, 4, 24, 70, 0, 0, 0, 0, 0]","[608, 612, 636, 706, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Fine Gael,Séan McKiernan Jnr,6,1678,19701,11898,11745,153,"[484, 21, 14, 0, 0, 0, 0, 0, 0]","[484, 505, 519, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Independent,Harry Henry Reburn,6,1678,19701,11898,11745,153,"[171, 3, 0, 0, 0, 0, 0, 0, 0]","[171, 174, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Bailieborough-Cootehill,Independent,Val Martin,6,1678,19701,11898,11745,153,"[165, 2, 0, 0, 0, 0, 0, 0, 0]","[165, 167, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Ballyjamesduff,Sinn Féin,Noel Connell,5,1532,19362,10874,10718,156,"[1753, -221, 0, 0]","[1753, 1532, 1532, 1532]"
Local Election,2014,Cavan,Ballyjamesduff,Fine Gael,Winston Bennett,5,1532,19362,10874,10718,156,"[1544, 0, -12, 0]","[1544, 1544, 1532, 1532]"
Local Election,2014,Cavan,Ballyjamesduff,Fine Gael,Paddy Smith,5,1532,19362,10874,10718,156,"[1485, 48, 0, 0]","[1485, 1533, 1533, 1533]"
Local Election,2014,Cavan,Ballyjamesduff,Fianna Fáil,Philip Brady,5,1532,19362,10874,10718,156,"[1420, 38, 231, 0]","[1420, 1458, 1689, 1689]"
Local Election,2014,Cavan,Ballyjamesduff,Fine Gael,Paddy O'Reilly,5,1532,19362,10874,10718,156,"[1250, 23, 271, 0]","[1250, 1273, 1544, 1544]"
Local Election,2014,Cavan,Ballyjamesduff,Fianna Fáil,Shane P. O'Reilly,5,1532,19362,10874,10718,156,"[1360, 32, 31, 35]","[1360, 1392, 1423, 1458]"
Local Election,2014,Cavan,Ballyjamesduff,Fianna Fáil,Craig Lovett,5,1532,19362,10874,10718,156,"[1129, 53, 126, 107]","[1129, 1182, 1308, 1415]"
Local Election,2014,Cavan,Ballyjamesduff,Fine Gael,Mary Brady,5,1532,19362,10874,10718,156,"[777, 27, 0, 0]","[777, 804, 804, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Fine Gael,Madeline Argue,6,1296,17468,9208,9071,137,"[1089, 3, 5, 167, 85, -53, 0, 0]","[1089, 1092, 1097, 1264, 1349, 1296, 1296, 1296]"
Local Election,2014,Cavan,Cavan-Belturbet,Fine Gael,Peter McVitty,6,1296,17468,9208,9071,137,"[1043, 3, 22, 65, 200, 0, -37, 0]","[1043, 1046, 1068, 1133, 1333, 1333, 1296, 1296]"
Local Election,2014,Cavan,Cavan-Belturbet,Sinn Féin,Damien Brady,6,1296,17468,9208,9071,137,"[1222, 14, 30, 24, 24, 0, 0, 0]","[1222, 1236, 1266, 1290, 1314, 1314, 1314, 1314]"
Local Election,2014,Cavan,Cavan-Belturbet,Fianna Fáil,John Paul Feeley,6,1296,17468,9208,9071,137,"[1240, 5, 22, 23, 17, 0, 0, 0]","[1240, 1245, 1267, 1290, 1307, 1307, 1307, 1307]"
Local Election,2014,Cavan,Cavan-Belturbet,Fianna Fáil,Seán Smith,6,1296,17468,9208,9071,137,"[1061, 3, 8, 6, 38, 7, 10, 198]","[1061, 1064, 1072, 1078, 1116, 1123, 1133, 1331]"
Local Election,2014,Cavan,Cavan-Belturbet,Sinn Féin,Eugene Greenan,6,1296,17468,9208,9071,137,"[863, 7, 18, 60, 9, 4, 3, 142]","[863, 870, 888, 948, 957, 961, 964, 1106]"
Local Election,2014,Cavan,Cavan-Belturbet,Fianna Fáil,Patricia Walsh,6,1296,17468,9208,9071,137,"[739, 2, 4, 66, 12, 6, 2, 59]","[739, 741, 745, 811, 823, 829, 831, 890]"
Local Election,2014,Cavan,Cavan-Belturbet,Independent,Seamus Fitzpatrick,6,1296,17468,9208,9071,137,"[551, 35, 32, 19, 107, 21, 22, 0]","[551, 586, 618, 637, 744, 765, 787, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Fine Gael,Barry Wilson,6,1296,17468,9208,9071,137,"[497, 4, 4, 26, 0, 0, 0, 0]","[497, 501, 505, 531, 0, 0, 0, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Fine Gael,Jacqui Lewis,6,1296,17468,9208,9071,137,"[295, 1, 4, 0, 0, 0, 0, 0]","[295, 296, 300, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Labour Party,Mary Croke,6,1296,17468,9208,9071,137,"[187, 4, 10, 0, 0, 0, 0, 0]","[187, 191, 201, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Independent,Eamon Murray,6,1296,17468,9208,9071,137,"[160, 30, 0, 0, 0, 0, 0, 0]","[160, 190, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Independent,Noreen Briddigkeit Quinn,6,1296,17468,9208,9071,137,"[68, 0, 0, 0, 0, 0, 0, 0]","[68, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Cavan,Cavan-Belturbet,Independent,Mickey Lee,6,1296,17468,9208,9071,137,"[56, 0, 0, 0, 0, 0, 0, 0]","[56, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Ann Norton,8,1430,23797,13008,12869,139,"[821, 300, 4, 4, 24, 71, 87, 173, 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, 0, 0]","[821, 1121, 1125, 1129, 1153, 1224, 1311, 1484, 1484, 1484, 1484, 1484, 1430, 1430, 1430, 1430, 1430, 1430, 1430, 1430]"
Local Election,2014,Clare,Ennis,Independent,James Breen,8,1430,23797,13008,12869,139,"[1134, 7, 16, 31, 11, 19, 17, 44, 60, 48, 62, 0, 0, 0, 0, 0, 0, 0, 0, -19]","[1134, 1141, 1157, 1188, 1199, 1218, 1235, 1279, 1339, 1387, 1449, 1449, 1449, 1449, 1449, 1449, 1449, 1449, 1449, 1430]"
Local Election,2014,Clare,Ennis,Fine Gael,Johnny Flynn,8,1430,23797,13008,12869,139,"[1100, 4, 14, 20, 30, 16, 26, 17, 27, 68, 29, 130, 0, -51, 0, 0, 0, 0, 0, 0]","[1100, 1104, 1118, 1138, 1168, 1184, 1210, 1227, 1254, 1322, 1351, 1481, 1481, 1430, 1430, 1430, 1430, 1430, 1430, 1430]"
Local Election,2014,Clare,Ennis,Fianna Fáil,Pat Daly,8,1430,23797,13008,12869,139,"[1000, 3, 3, 16, 5, 10, 35, 14, 18, 18, 16, 29, 4, 2, 114, 80, 51, 161, -149, 0]","[1000, 1003, 1006, 1022, 1027, 1037, 1072, 1086, 1104, 1122, 1138, 1167, 1171, 1173, 1287, 1367, 1418, 1579, 1430, 1430]"
Local Election,2014,Clare,Ennis,Fianna Fáil,Tom McNamara,8,1430,23797,13008,12869,139,"[1049, 4, 2, 6, 7, 7, 40, 4, 9, 22, 23, 48, 2, 0, 42, 34, 21, 40, 11, 8]","[1049, 1053, 1055, 1061, 1068, 1075, 1115, 1119, 1128, 1150, 1173, 1221, 1223, 1223, 1265, 1299, 1320, 1360, 1371, 1379]"
Local Election,2014,Clare,Ennis,Fine Gael,Mary Howard,8,1430,23797,13008,12869,139,"[720, 4, 5, 9, 23, 10, 35, 26, 16, 46, 42, 78, 19, 1, 38, 65, 101, 78, 27, 14]","[720, 724, 729, 738, 761, 771, 806, 832, 848, 894, 936, 1014, 1033, 1034, 1072, 1137, 1238, 1316, 1343, 1357]"
Local Election,2014,Clare,Ennis,Fine Gael,Paul Murphy,8,1430,23797,13008,12869,139,"[804, 1, 2, 0, 7, 1, 11, 7, 9, 29, 18, 34, 5, 0, 133, 22, 44, 40, 6, 6]","[804, 805, 807, 807, 814, 815, 826, 833, 842, 871, 889, 923, 928, 928, 1061, 1083, 1127, 1167, 1173, 1179]"
Local Election,2014,Clare,Ennis,Fianna Fáil,Claire Colleran-Molloy,8,1430,23797,13008,12869,139,"[584, 2, 7, 6, 9, 10, 29, 11, 11, 15, 24, 33, 5, 1, 68, 36, 41, 53, 34, 20]","[584, 586, 593, 599, 608, 618, 647, 658, 669, 684, 708, 741, 746, 747, 815, 851, 892, 945, 979, 999]"
Local Election,2014,Clare,Ennis,Fine Gael,Gerard O'Halloran,8,1430,23797,13008,12869,139,"[804, 1, 3, 21, 10, 2, 3, 4, 5, 15, 4, 40, 5, 1, 15, 4, 21, 27, 5, 6]","[804, 805, 808, 829, 839, 841, 844, 848, 853, 868, 872, 912, 917, 918, 933, 937, 958, 985, 990, 996]"
Local Election,2014,Clare,Ennis,Independent,Frankie Neylon,8,1430,23797,13008,12869,139,"[440, 3, 5, 10, 2, 7, 8, 11, 42, 31, 29, 10, 3, 2, 37, 170, 71, 0, 0, 0]","[440, 443, 448, 458, 460, 467, 475, 486, 528, 559, 588, 598, 601, 603, 640, 810, 881, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Labour Party,Dermot Hayes,8,1430,23797,13008,12869,139,"[333, 10, 21, 12, 45, 51, 9, 33, 19, 31, 39, 19, 2, 1, 17, 29, 0, 0, 0, 0]","[333, 343, 364, 376, 421, 472, 481, 514, 533, 564, 603, 622, 624, 625, 642, 671, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Michael Guilfoyle,8,1430,23797,13008,12869,139,"[466, 2, 5, 13, 7, 6, 8, 11, 13, 20, 28, 15, 2, 7, 27, 0, 0, 0, 0, 0]","[466, 468, 473, 486, 493, 499, 507, 518, 531, 551, 579, 594, 596, 603, 630, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fianna Fáil,Bernard Hanrahan,8,1430,23797,13008,12869,139,"[501, 1, 3, 9, 2, 8, 8, 2, 8, 12, 15, 10, 0, 0, 0, 0, 0, 0, 0, 0]","[501, 502, 505, 514, 516, 524, 532, 534, 542, 554, 569, 579, 579, 579, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fine Gael,Cillian Griffey,8,1430,23797,13008,12869,139,"[425, 1, 7, 7, 17, 8, 14, 13, 9, 28, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[425, 426, 433, 440, 457, 465, 479, 492, 501, 529, 549, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Paula McNamara,8,1430,23797,13008,12869,139,"[330, 13, 13, 9, 18, 24, 7, 38, 45, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[330, 343, 356, 365, 383, 407, 414, 452, 497, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fine Gael,Tony Mulqueen,8,1430,23797,13008,12869,139,"[396, 8, 0, 10, 6, 4, 22, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[396, 404, 404, 414, 420, 424, 446, 458, 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Sinn Féin,Cathal O'Reilly,8,1430,23797,13008,12869,139,"[392, 4, 7, 5, 5, 8, 6, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[392, 396, 403, 408, 413, 421, 427, 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Paul O'Shea,8,1430,23797,13008,12869,139,"[257, 8, 11, 10, 15, 25, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[257, 265, 276, 286, 301, 326, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fianna Fáil,Brian Meaney,8,1430,23797,13008,12869,139,"[302, 2, 1, 1, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[302, 304, 305, 306, 317, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Felix Omorodion,8,1430,23797,13008,12869,139,"[236, 3, 53, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[236, 239, 292, 292, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Labour Party,Seamus Ryan,8,1430,23797,13008,12869,139,"[229, 23, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[229, 252, 260, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Joe Corbett,8,1430,23797,13008,12869,139,"[208, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[208, 211, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,George Atijohn,8,1430,23797,13008,12869,139,"[197, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[197, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Green Party,Gerben Uunk,8,1430,23797,13008,12869,139,"[92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fís Nua,Vera Moloney,8,1430,23797,13008,12869,139,"[30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Independent,Tommy Kelly,8,1430,23797,13008,12869,139,"[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Local Election,2014,Clare,Ennis,Fís Nua,Damon Wise,8,1430,23797,13008,12869,139,"[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
